Alice Blue,﻿Alice Blue,"Azure, Light Cyan","Antique White, Linen, Seashell"
Antique White,"Antique White, Bisque, Blanched Almond, Floral White, Linen, Old Lace, Papaya Whip, Seashell","Beige, Cornsilk, Ivory, Lemon Chiffon, Light Goldenrod Yellow, Light Yellow, Misty Rose",﻿Alice Blue
Aqua,"Aqua, Cyan, Dark Cyan, Dark Turquoise, Teal","Deep Sky Blue, Medium Spring Green",Red
Aquamarine,"Aquamarine, Medium Aquamarine",,Hot Pink
Azure,"Azure, Light Cyan",﻿Alice Blue,"Misty Rose, Snow, White, White Smoke"
Beige,"Beige, Ivory, Lemon Chiffon, Light Goldenrod Yellow, Light Yellow","Antique White, Blanched Almond, Cornsilk, Floral White, Linen, Old Lace, Papaya Whip",Lavender
Bisque,"Antique White, Bisque, Blanched Almond, Moccasin, Navajo White, Papaya Whip, Peach Puff, Wheat","Cornsilk, Lemon Chiffon, Light Goldenrod Yellow, Pale Goldenrod",
Black,"Black, Dark Gray, Dim Gray, Gainsboro, Gray, Light Gray, Silver, Snow, White, White Smoke",,
Blanched Almond,"Antique White, Bisque, Blanched Almond, Moccasin, Papaya Whip, Peach Puff, Wheat","Beige, Cornsilk, Lemon Chiffon, Light Goldenrod Yellow, Light Yellow, Misty Rose, Pale Goldenrod",
Blue,"Blue, Dark Blue, Medium Blue, Navy",,"Gold, Yellow"
Blue Violet,"Blue Violet, Dark Orchid",,
Brown,"Brown, Firebrick, Tomato",Sienna,Light Sea Green
Burly Wood,"Burly Wood, Navajo White, Tan","Dark Salmon, Khaki",
Cadet Blue,"Cadet Blue, Dark Slate Gray",,
Chartreus,"Chartreus, Lawn Green",Lime,
Chocolate,"Chocolate, Saddle Brown",Goldenrod,
Coral,"Coral, Sienna, Tomato",Sandy Brown,
Cornflower Blue,Cornflower Blue,Medium Slate Blue,
Cornsilk,"Cornsilk, Floral White, Lemon Chiffon, Old Lace","Antique White, Beige, Bisque, Blanched Almond, Ivory, Light Goldenrod Yellow, Light Yellow, Linen, Papaya Whip, Seashell",
Crimson Red,Crimson Red,Medium Violet Red,
Cyan,"Aqua, Cyan, Dark Cyan, Dark Turquoise, Teal","Deep Sky Blue, Medium Spring Green",Red
Dark Blue,"Blue, Dark Blue, Medium Blue, Navy",,Olive
Dark Cyan,"Aqua, Cyan, Dark Cyan, Dark Turquoise, Teal",,"Dark Red, Maroon"
Dark Goldenrod,"Dark Goldenrod, Dark Orange, Gold, Goldenrod, Orange",,
Dark Gray,"Black, Dark Gray, Dim Gray, Gainsboro, Gray, Light Gray, Silver, Snow, White, White Smoke",,
Dark Green,"Dark Green, Green, Lime",,
Dark Khaki,"Dark Khaki, Ghost White, Khaki",,
Dark Magenta,"Dark Magenta, Fuchsia, Magenta, Purple",Indigo,Green
Dark Olive Green,Dark Olive Green,,
Dark Orange,"Dark Goldenrod, Dark Orange, Orange","Gold, Orange Red, Yellow",
Dark Orchid,"Blue Violet, Dark Orchid",,
Dark Red,"Dark Red, Maroon, Red",,"Dark Cyan, Teal"
Dark Salmon,"Dark Salmon, Light Salmon, Salmon","Burly Wood, Light Coral","Light Sky Blue, Sky Blue"
Dark Seagreen,"Dark Seagreen, Plum",,
Dark Slate Blue,"Dark Slate Blue, Medium Slate Blue, Slate Blue",,
Dark Slate Gray,"Cadet Blue, Dark Slate Gray",,
Dark Turquoise,"Aqua, Cyan, Dark Cyan, Dark Turquoise, Teal",,
Dark Violet,"Dark Violet, Indigo",,
Deep Pink,"Deep Pink, Medium Violet Red","Fuchsia, Magenta","Medium Spring Green, Spring Green"
Deep Sky Blue,Deep Sky Blue,"Aqua, Cyan",Orange Red
Dim Gray,"Black, Dark Gray, Dim Gray, Gainsboro, Gray, Light Gray, Silver, Snow, White, White Smoke",,
Dodger Blue,Dodger Blue,,
Firebrick,"Brown, Firebrick, Tomato",Sienna,Light Sea Green
Floral White,"Antique White, Cornsilk, Floral White, Linen, Old Lace","Beige, Ivory, Light Yellow, Seashell",
Forest Green,"Forest Green, Lime Green",Sea Green,
Fuchsia,"Dark Magenta, Fuchsia, Magenta, Purple",Deep Pink,Lime
Gainsboro,"Black, Dark Gray, Dim Gray, Gainsboro, Gray, Light Gray, Silver, Snow, White, White Smoke",,
Ghost White,"Dark Khaki, Ghost White, Khaki, Pale Goldenrod","Moccasin, Navajo White",
Gold,"Dark Goldenrod, Gold, Olive, Yellow","Dark Orange, Orange",Blue
Goldenrod,"Dark Goldenrod, Goldenrod",Chocolate,
Gray,"Black, Dark Gray, Dim Gray, Gainsboro, Gray, Light Gray, Silver, Snow, White, White Smoke",,
Green,"Dark Green, Green, Lime",,"Dark Magenta, Purple"
Green Yellow,"Green Yellow, Olive Drab, Yellow Green",,
Honeydew,"Honeydew, Plum",Mint Cream,
Hot Pink,Hot Pink,,Aquamarine
Indian Red,"Indian Red, Light Coral, Salmon",Pale Violet Red,
Indigo,"Dark Violet, Indigo","Dark Magenta, Purple",
Ivory,"Beige, Ivory, Light Yellow","Antique White, Cornsilk, Floral White, Linen, Old Lace",Lavender
Khaki,"Dark Khaki, Ghost White, Khaki","Burly Wood, Navajo White",
Lavender,Lavender,,"Beige, Ivory, Light Goldenrod Yellow, Light Yellow"
